Year,Player_ID,First_name,Last_name,Full_name,Position,Height_inches,Weight_lbs,Wingspan_inches,Standing_reach_inches,VJ inches,Running_VJ_Inches,Lane_agility,Sprint_3qtr_court,Bench_press_135,Body_fat_perc
2001,2124,Malik,Allen,Malik Allen,PF,80.25,271,86.5,109,25.5,29,11.83,3.38,13,NA
2001,12019,Harold,Arceneaux,Harold Arceneaux,SG,76.5,219,80.5,103,NA,29,13.8,NA,0,NA
2001,12020,Lamont,Barnes,Lamont Barnes,PF,80.5,235.5,87.5,108,28,29.5,12.3,3.4,10,NA
2001,12131,Mario,Bland,Mario Bland,PF,77.5,287,84,103,27,31,13.04,3.47,15,NA
2001,2056,Primoz,Brezec,Primoz Brezec,C,84.75,243,86,110,26,29.5,11.53,3.55,NA,NA
2001,2081,Ernest,Brown,Ernest Brown,C,82,222.5,85.25,109.5,NA,NA,NA,NA,2,NA
2001,2049,Speedy,Claxton,Speedy Claxton,PG,70.5,166,72,94.5,36,42.5,10.48,3.06,6,NA
2001,12132,Eric,Coley,Eric Coley,SG,76,205,83,102,35,38,11.4,3.15,10,NA
2001,12133,Ed,Cota,Ed Cota,PG,72.25,189,76,96.5,26.5,33.5,10.98,3.24,1,NA
2001,12134,Schea,Cotton,Schea Cotton,SF,76.25,219.5,79,100,34,38,11.55,3,19,NA
2001,2037,Jamal,Crawford,Jamal Crawford,PG,76.5,175,82,102.5,NA,NA,NA,NA,0,NA
2001,12017,Caswell,Cyrus,Caswell Cyrus,PF,79.75,220.5,86,107.5,33.5,37.5,12.12,3.16,18,NA
2001,2064,Khalid,El-Amin,Khalid El-Amin,PG,69,200,73.5,93,27.5,32,10.59,3.32,6,NA
2001,12018,Vassil,Evtimov,Vassil Evtimov,PF,81.75,262,82.5,106.5,21,28.5,11.75,3.52,13,NA
2001,2238,Antonis,Fotsis,Antonis Fotsis,SF,81.25,219,80.5,106,27,30,11.6,3.44,2,NA
2001,2109,Eddie,Gill,Eddie Gill,PG,71.75,176,76,93,35,38.5,11.12,3.18,13,NA
2001,12135,Ceedric,Goodwyn,Ceedric Goodwyn,SF,78,238,82,104.5,NA,NA,NA,NA,NA,NA
2001,12136,Marcus,Goree,Marcus Goree,SF,79.5,239,84.5,105.5,29.5,33.5,12,3.25,13,NA
2001,12137,A.J.,Granger,A.J. Granger,SF,79.5,227,81.5,103,30,34,10.73,3.25,20,NA
2001,2062,A.J.,Guyton,A.J. Guyton,PG,72.75,175,75.75,97.5,33,37.5,10.55,3.22,9,NA
2001,2110,Ron,Hale,Ron Hale,SG,79.5,202,83,104.5,29.5,34.5,12.58,3.2,11,NA
2001,2078,Jason,Hart,Jason Hart,PG,73.75,181,78,97.5,29.5,33.5,11.7,3.34,9,NA
2001,2051,Donnell,Harvey,Donnell Harvey,PF,79.25,220,84.5,105.5,33,32.5,11.23,NA,15,NA
2001,12138,Johnny,Hemsley,Johnny Hemsley,SG,74.75,200,80,100.5,31.5,35,11.5,3.19,5,NA
2001,12139,Michael,Hermon,Michael Hermon,SG,74.75,195,78.25,98.5,29,33,11.79,3.25,0,NA
2001,2083,Cory,Hightower,Cory Hightower,SG,77.5,183,83,101.5,29.5,34.5,11.92,3.37,0,NA
2001,12140,Shaheen,Holloway,Shaheen Holloway,PG,69.5,174,70,91,NA,NA,11.22,3.32,6,NA
2001,2067,Eddie,House,Eddie House,SG,71.75,176.5,75.5,95,29.5,38.5,11.12,3.27,5,NA
2001,2111,Jimmie,Hunter,Jimmie Hunter,SG,75,170,80,100,29,36,11.23,3.35,0,NA
2001,12141,Jacob,Jaacks,Jacob Jaacks,PF,81.25,238,83,105.5,26,32,11.48,3.58,3,NA
2001,2060,Marko,Jaric,Marko Jaric,SG,78.5,210,81,104,27.5,33,11.32,3.28,NA,NA
2001,12142,Nate,Johnson,Nate Johnson,SF,78.5,211.5,80.5,104,27,33.5,11.9,3.33,13,NA
2001,12143,Kenyon,Jones,Kenyon Jones,PF,81,282,85,108,28.5,30,12.44,3.6,20,NA
2001,2077,Mark,Karcher,Mark Karcher,SG,76,218,80,102.5,27.5,30.5,11.51,3.4,12,NA
2001,12144,Brandon,Kurtz,Brandon Kurtz,PF,81.5,257,83.25,106.5,NA,NA,NA,NA,7,NA
2001,2061,Dan,Langhi,Dan Langhi,SF,81,197.5,80,104,31,34.5,10.85,3.24,12,NA
2001,2090,Justin,Love,Justin Love,PG,73.5,205.5,76.5,97.5,31,38.5,10.99,3.31,24,NA
2001,2058,Mark,Madsen,Mark Madsen,PF,80,236.5,84.5,104.5,30.5,33.5,12.12,3.46,13,NA
2001,2082,Dan,McClintock,Dan McClintock,C,83,250,85.5,107,33,35,11.52,3.33,20,NA
2001,2087,Pete,Mickeal,Pete Mickeal,SG,77,222,81.5,103.5,28,34.5,10.83,3.06,8,NA
2001,12145,Brian,Montonati,Brian Montonati,PF,80.75,215,82.5,106,25,29,11.85,3.53,5,NA
2001,2508,Gabe,Muoneke,Gabe Muoneke,PF,78.25,244,84.5,105,30.5,34,11,3.4,22,NA
2001,12146,Ndongo,N'diaye,Ndongo N'diaye,C,83.5,208,87.5,112.5,24.5,27.5,13.16,3.69,4,NA
2001,2059,Eduardo,Najera,Eduardo Najera,PF,78.5,234.5,83.5,104.5,28,35,11.38,3.45,15,NA
2001,12147,Matthew,Nielsen,Matthew Nielsen,PF,81,223,82.5,106,26,29,11.28,3.35,3,NA
2001,2084,Chris,Porter,Chris Porter,SF,77.5,214,81.5,103.5,28.5,35,10.93,3.2,6,NA
2001,2068,Lavor,Postell,Lavor Postell,SG,76.5,205,80.5,101.5,33.5,36.5,11.79,3.3,17,NA
2001,2080,Igor,Rakocevic,Igor Rakocevic,PG,74.5,184,77.25,100,27.5,34,10.4,3.1,9,NA
2001,12148,Reed,Rawlings,Reed Rawlings,SG,78.25,218,81.25,104,28.5,33.5,11.1,3.27,13,NA
2001,2072,Michael,Redd,Michael Redd,SG,76.75,214,81,102,27,31,12.06,3.34,12,NA
2001,12149,Damon,Reed,Damon Reed,PF,80.5,228,81.5,104.5,27.5,31.5,11.21,3.31,4,NA
2001,12021,Aubrey,Reese,Aubrey Reese,PG,70.75,189,77.5,94.5,31.5,37.5,11.13,3.25,14,NA
2001,2121,Terrance,Roberson,Terrance Roberson,SF,77.5,209,80,103.5,29,32.5,11.66,NA,11,NA
2001,12022,Julius Doc,Robinson,Julius Doc Robinson,PG,72,184,75.75,95.5,30,37.5,12.54,3.41,0,NA
2001,12023,Pepe,Sanchez,Pepe Sanchez,PG,75,194,75.5,96,26,31,11.62,3.44,8,NA
2001,12024,Matt,Santangelo,Matt Santangelo,PG,72,177,75,94,33.5,43,10.66,3.06,12,NA
2001,2637,Alex,Scales,Alex Scales,SG,74.25,184.5,81,97.5,38.5,42.5,10.98,3.21,10,NA
2001,12025,Karim,Shabazz,Karim Shabazz,C,83.5,224,87,111.5,24.5,28,12.72,3.36,2,NA
2001,12026,Nick,Sheppard,Nick Sheppard,PF,81.5,273,83,107.5,23.5,25.5,12.14,3.52,18,NA
2001,2065,Mike,Smith,Mike Smith,SF,78.5,198,80.5,103,33,21,11.32,3.22,12,NA
2001,2074,Jabari,Smith,Jabari Smith,PF,81.75,240.5,86.5,109.5,24.5,30,12.45,3.43,15,NA
2001,12027,Jarrett,Stephens,Jarrett Stephens,PF,77.25,258,81.25,103,27,29,11.98,3.46,13,NA
2001,12028,Bootsy,Thornton,Bootsy Thornton,SG,75.5,194.5,78.5,101.5,26.5,31,12.08,3.33,7,NA
2001,12029,Jaquay,Walls,Jaquay Walls,PG,73.25,165.5,74.5,96.5,28.5,35.5,10.75,3.23,0,NA
2001,12030,Jameel,Watkins,Jameel Watkins,PF,81.5,244.5,90,110,28,30.5,12.38,3.45,11,NA
2002,12033,Adam,Allenspach,Adam Allenspach,C,83.5,259,84.5,107,28.5,31,11.9,3.4,16,12.4
2002,2240,Gilbert,Arenas,Gilbert Arenas,SG,74.25,199,81.5,99.5,31.5,36,NA,3.25,12,5.3
2002,2220,Brandon,Armstrong,Brandon Armstrong,SG,75.5,188,81.5,99.5,30,37,10.91,3.2,6,9.3
2002,2203,Shane,Battier,Shane Battier,SF,80.25,229,82.5,105,29.5,33,10.95,3.3,12,9.3
2002,12034,Cookie,Belcher,Cookie Belcher,SG,75,206,80.5,99,35,41.5,11.26,2.91,7,5.3
2002,2294,Charlie,Bell,Charlie Bell,PG,74.5,200,79.5,97.5,31.5,38,10.59,3.12,15,6.7
2002,2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,C,83.5,245,88,111,26.5,31,11.84,3.33,6,6
2002,12035,Calvin,Bowman,Calvin Bowman,PF,80.75,214,83.5,104,28.5,34.5,11.96,3.21,7,8.6
2002,2214,Michael,Bradley,Michael Bradley,PF,81.5,227,85.5,107,27,30,11.11,3.35,13,9.3
2002,2249,Jamison,Brewer,Jamison Brewer,PG,74.5,178,80.75,102.5,26,32.5,9.65,3.15,12,6.7
2002,2198,Kwame,Brown,Kwame Brown,PF,82,243,85,108,30,33,11.59,3.45,17,8.9
2002,2245,Damone,Brown,Damone Brown,SF,80.25,202,83.75,104.5,32,37,11.81,3.27,6,6.7
2002,12031,SirValiant,Brown,SirValiant Brown,PG,71,176,76,92.5,31,39.5,11.23,3,10,6.7
2002,12032,Ryan,Carroll,Ryan Carroll,SF,76,202,80.25,99,34.5,39,11,3.1,14,8
2002,2199,Tyson,Chandler,Tyson Chandler,SF,83.5,224,87,110,31,33.5,12.13,3.36,2,6.7
2002,2251,Eric,Chenowith,Eric Chenowith,C,85,264,88,111,23.5,27.5,12.5,3.59,6,12.9
2002,2439,Sam,Clancy,Sam Clancy,PF,78.25,242,86.75,107,31,34,11.47,3.13,15,8
2002,12036,Gyasi,Cline-Heard,Gyasi Cline-Heard,PF,78.25,231,83.5,103,31.5,34.5,11.4,3.23,11,8
2002,2260,Jarron,Collins,Jarron Collins,C,81.25,252,87,104,23,29,11.65,3.6,10,15.2
2002,2215,Jason,Collins,Jason Collins,PF,82.25,251,88.5,110,25.5,28.5,12.1,3.54,8,12.9
2002,2241,Omar,Cook,Omar Cook,PG,71.5,189,77.5,92,31,35.5,10.77,3.2,9,5.5
2002,2201,Eddy,Curry,Eddy Curry,C,82.5,301,90.5,111,28,31,12.25,3.53,16,16.5
2002,12037,Tate,Decker,Tate Decker,SF,81.25,218,83.75,107,25.5,28.5,12.19,3.47,13,13.6
2002,2205,DeSagana,Diop,DeSagana Diop,C,82,314,90.5,113,21.5,25.5,12.37,3.56,15,21
2002,12038,Robb,Dryden,Robb Dryden,C,85,241,86.5,110.2,27,30,12.47,3.46,8,8
2002,2230,Maurice,Evans,Maurice Evans,SG,76.25,221,80,101,34.5,37.5,10.08,3.12,22,4
2002,12039,Anthony,Evans,Anthony Evans,PF,78,267,83.5,101.5,31.5,33,12.56,3.31,18,12.9
2002,12150,Benjamin,Eze,Benjamin Eze,C,80.75,232,90,109,29,32,13.05,3.36,14,3.9
2002,2386,Kimani,Ffriend,Kimani Ffriend,C,81.5,228,82.75,108.5,32,33,11.46,3.09,9,11.7
2002,2228,Alton,Ford,Alton Ford,PF,80.25,271,82.5,102.5,34.5,36.5,11.7,3.16,21,8
2002,2218,Joseph,Forte,Joseph Forte,SG,75.5,193,78.5,100.5,26.5,33,11.51,3.19,10,NA
2002,-1,Jason,Gardner,Jason Gardner,PG,69.75,188,73.25,92.5,34.5,40,10.88,2.92,9,8
2002,12151,Jerry,Green,Jerry Green,PG,73.5,179,78.25,99,28.5,35,11.7,3.17,13,5.5
2002,12152,Kenny,Gregory,Kenny Gregory,SF,75.5,200,83.25,101,39.5,45.5,11.33,3.1,10,6.7
2002,2204,Eddie,Griffin,Eddie Griffin,PF,81.25,222,87,110,26.5,33,11.77,3.21,3,4
2002,2239,Trenton,Hassell,Trenton Hassell,SG,76.25,205,80,99.5,35.5,37.5,11.57,3.29,12,5.3
2002,2213,Kirk,Haston,Kirk Haston,PF,80,242,84.25,106,27,31.5,12.25,3.35,11,10.5
2002,12153,Charles,Hathaway,Charles Hathaway,C,80,274,86,107.5,NA,NA,NA,NA,NA,NA
2002,2217,Brendan,Haywood,Brendan Haywood,C,83.75,266,90.5,113.5,27,28.5,12.87,3.5,17,12.9
2002,12154,Michael,Hicks,Michael Hicks,SG,76,197,81.25,100.5,33,40.5,11.38,3.19,13,7.3
2002,2212,Steven,Hunter,Steven Hunter,C,82.25,224,88,108,30.5,38.5,11.99,3.15,11,5.3
2002,12155,Andre,Hutson,Andre Hutson,PF,80.25,244,83.75,105.5,29,32.5,11.25,3.3,17,11.7
2002,12156,Nate,James,Nate James,SF,76.75,196,82.75,103,26,31,11.42,3.31,23,6
2002,2210,Richard,Jefferson,Richard Jefferson,SF,79.25,223,84,103,33,38.5,11.19,3.15,14,6.7
2002,2798,Horace,Jenkins,Horace Jenkins,PG,71.75,171,77.25,97,34.5,41,10.97,3.1,2,6
2002,12157,Darrell,Johns,Darrell Johns,C,83.25,278,89,111.5,23.5,30,12.41,3.59,18,19.1
2002,2256,Ken,Johnson,Ken Johnson,C,82.75,227,88,109.5,32.5,35,11.27,3.12,13,9.9
2002,2207,Joe,Johnson,Joe Johnson,SF,78.75,226,81,105,32.5,36.5,12.05,3.4,12,6.7
2002,12158,Darren,Kelly,Darren Kelly,SG,74,178,78.75,100,30.5,34.5,11.38,3.21,1,6.7
2002,2253,Sean,Lampley,Sean Lampley,SF,77.5,213,81.25,101,36,40,11.06,3.12,12,8
2002,12159,Zach,Marbury,Zach Marbury,PG,73.25,183,75.5,96.5,33,36.5,11.53,3.1,0,6.7
2002,12160,Mike,Mardesich,Mike Mardesich,C,82.25,247,84.5,108.5,24,30,11.65,3.45,8,13.6
2002,12161,DeMarcus,Minor,DeMarcus Minor,SG,75.25,207,80.25,99.5,29,41,10.57,3.15,9,6.7
2002,200081,Jamario,Moon,Jamario Moon,SF,78.5,185,83.5,103,33,43,11.64,3.08,0,5.3
2002,2211,Troy,Murphy,Troy Murphy,PF,81.75,230,83,105.5,28.5,34.5,11.22,3.43,11,11.7
2002,12162,Troy,Ostler,Troy Ostler,PF,80.75,200,85.5,106.5,26.5,29.5,13.42,3.5,2,8
2002,40046,Lazaros,Papadopoulos,Lazaros Papadopoulos,C,82.25,227,86.5,110.5,23,26,12,3.7,4,11.7
2002,12164,Rashad,Phillips,Rashad Phillips,PG,69,166,73.5,92,27,32,11.93,3.27,5,12.4
2002,12165,Demetrius,Porter,Demetrius Porter,PG,70.75,178,74.75,94,26,31,11.5,3.34,5,12.4
2002,12166,Martin,Rancik,Martin Rancik,PF,80.75,230,80,102.5,32,37,10.77,3.19,14,8
2002,2202,Jason,Richardson,Jason Richardson,SF,76.75,213,83.5,102.5,32.5,39.5,11.75,3.12,15,5.3
2002,2369,Norman,Richardson,Norman Richardson,SG,75.5,180,76.5,99,30.5,35.5,10.97,3.15,2,6
2002,2219,Jeryl,Sasser,Jeryl Sasser,PG,77.5,194,82.5,103.5,29,34,11.47,3.22,1,6.7
2002,12167,Kenny,Satterfield,Kenny Satterfield,PG,73,176,76.5,98,28.5,33,12.05,3.2,3,6.7
2002,2243,Brian,Scalabrine,Brian Scalabrine,PF,80.75,241,81.75,105.5,27,30.5,11.75,3.47,14,13.6
2002,12168,Lee,Scruggs,Lee Scruggs,PF,82.25,209,89.75,110.5,23.5,29.5,13.28,3.55,0,10.5
2002,2250,Bobby,Simmons,Bobby Simmons,SF,78.25,235,84.25,105,27.5,34,11.69,3.41,12,6.7
2002,2226,Will,Solomon,Will Solomon,PG,71.75,172,81.5,99.5,28.5,35,11.3,3.22,4,4
2002,12169,Greg,Stevenson,Greg Stevenson,SF,75.75,215,84.5,102,30,35.5,11.29,3.23,15,7.3
2002,12170,Damone,Thornton,Damone Thornton,PF,78.75,235,85.75,103.7,33.5,37.5,11.17,3.2,19,8
2002,2224,Jamaal,Tinsley,Jamaal Tinsley,PG,72.75,199,79.5,97.5,28,37.5,11.96,3.2,1,13.6
2002,12171,Tory,Walker,Tory Walker,SF,78.75,187,83.25,104.5,28,33,11.95,3.25,7,6.7
2002,12172,Souleymane,Wane,Souleymane Wane,C,80.5,235,89,109,29,30.5,12.02,3.46,9,11.2
2002,2248,Earl,Watson,Earl Watson,PG,72,184,78.75,97,32.5,37.5,10.97,3.19,4,4
2002,2206,Rodney,White,Rodney White,SF,79.5,243,83.5,104.5,27.5,33,12.07,3.47,16,9.3
2002,2254,Loren,Woods,Loren Woods,C,84.75,246,89.5,113,24.5,28,11.83,3.48,10,9.3
2002,12040,Brent,Wright,Brent Wright,PF,79.75,236,85.5,105.5,23,29,12.25,3.3,19,12.4
2002,12041,Michael,Wright,Michael Wright,PF,79,247,83.5,106.5,27.5,33.5,11.37,3.21,18,9.3
2003,2403,Nene,,Nene ,PF,81.25,253,88.5,109,30,34,10.73,3.19,16,NA
2003,2425,Robert,Archibald,Robert Archibald,PF,82,250,83.75,109.5,24,27.5,11.34,3.33,10,NA
2003,2486,Maurice,Baker,Maurice Baker,PG,71.75,178,76,96,29.5,33,12.19,3.29,2,NA
2003,2440,Matt,Barnes,Matt Barnes,SF,78.75,226,81,96.5,35.5,40.5,10.68,3.28,11,NA
2003,12286,Lubos,Barton,Lubos Barton,SF,78.5,221,84,107,25.5,31.5,11.2,3.31,14,NA
2003,2437,Lonny,Baxter,Lonny Baxter,PF,78.25,264,85.5,107.5,28,32.5,11.77,3.21,14,NA
2003,12287,Lee,Benson,Lee Benson,SF,80.25,217,85.75,109,27.5,32.5,11.44,3.29,14,NA
2003,2430,Carlos,Boozer,Carlos Boozer,PF,79.75,258,86.25,108.5,26.5,28.5,10.77,3.31,13,NA
